date,GMM_Regime_0,GMM_Regime_1,GMM_Regime_2,GMM_Regime_3,GMM_Regime_4,GMM_Regime_5
1982-02-01,0.0,1.0,3.7194286603633492e-65,9.078317504121011e-45,0.0,4.490126294554172e-263
1982-03-01,0.0,3.6326710913630824e-54,8.152071614942827e-34,5.711022523089042e-31,1.0,2.7730092514902655e-71
1982-04-01,0.0,3.3688426105680666e-68,2.65380767427108e-38,2.4339779067812824e-53,1.0,2.6079426136311175e-56
1982-05-01,0.0,7.322875377900848e-20,0.9999999999998437,1.5058435655825624e-13,0.0,1.2042327630594485e-20
1982-06-01,0.0,2.980596764565402e-39,1.6710009943204575e-26,2.1586638230782644e-34,1.0,1.1830308498119937e-58
1982-07-01,0.0,5.461151306288489e-70,6.183733073964744e-44,3.73894260720645e-39,1.0,1.5842055913184995e-48
1982-08-01,0.0,2.163010004663379e-53,9.889915434780173e-30,8.975269595795255e-27,1.0,1.3104248622396835e-46
1982-09-01,0.0,8.117000991620693e-67,3.679467249033216e-34,3.296318278102881e-28,1.0,3.7597146621330334e-50
1982-10-01,0.0,7.540176789341332e-117,1.0076609915736094e-36,7.748877354367248e-32,1.0,6.172283802666892e-59
1982-11-01,0.0,2.8518497495445255e-70,5.5107325233449574e-37,1.2820992137279278e-30,1.0,7.378395611158064e-64
1982-12-01,0.0,6.337644618848666e-56,1.803107851732948e-20,1.2897295104566738e-11,0.0,0.9999999999871036
1983-01-01,0.0,7.084005805459136e-206,1.6496734394845036e-58,1.0,0.0,7.8961930191065e-119
1983-02-01,0.0,4.985849705507739e-75,4.015584260007957e-22,1.404060695111731e-14,0.0,0.9999999999999858
1983-03-01,0.0,3.946493084136481e-34,1.4443882436025815e-11,0.9999999999855618,0.0,6.691106487136628e-24
1983-04-01,0.0,2.610999992174706e-60,4.329188662783152e-10,0.9999999995670805,0.0,1.8722509254673289e-44
1983-05-01,0.0,5.187990049501304e-54,1.9734179390121168e-08,0.9999999688002821,0.0,1.1465536722659645e-08
1983-06-01,0.0,6.027389902573693e-55,1.2426137604079496e-10,0.9999999998757403,0.0,5.598396149025082e-25
1983-07-01,0.0,5.5319510593911404e-70,1.0943410291973377e-10,0.9999999998905693,0.0,1.4263887448739133e-30
1983-08-01,0.0,2.4106426317687066e-36,0.008186503241269034,0.9918134946852588,0.0,2.0734719728076133e-09
