,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2009-07-01,-0.17439059658318917,-0.0731294823313932,-0.005873882329073285,-0.19031736857989448,-0.11039437828348037,0.0,-0.03448048886517561,-0.24018417793117178,-0.17122962509662204,0.0
2009-08-01,-0.17425601522111456,-0.09999364199317176,-0.050207124752580407,-0.18802601817975545,0.0,-0.11562186126076243,-0.032942479097570386,-0.19369890486596214,-0.1452539546290827,0.0
2009-09-01,-0.18718379852390227,-0.036963999100410774,-0.02118411283955489,-0.22919570267519235,0.0,-0.095672322610011,0.018943281578012155,-0.2559676169049773,-0.15488916576793932,0.0
2009-10-01,-0.1639810465050657,-0.03716270013615914,0.0,-0.18224013155614469,-0.0876964826405329,0.0,0.036496739639171445,-0.2846634512224294,-0.12822144287357123,-0.07953800542692559
2009-11-01,-0.1515249973607851,-0.01954128304835992,0.0,-0.18641743153077234,-0.06186088540958855,0.0,0.08600207638466278,-0.3082274846086538,-0.13286454311979393,-0.05356129853738349
2009-12-01,-0.13699294113273267,-0.022010749835531793,-0.023431663789314338,-0.1862335071885761,0.0,-0.046833232441914105,0.1288980874167226,-0.3228578563350952,-0.13274196186011314,0.0
2010-01-01,-0.10529644484977992,0.07397716819332312,0.0,-0.22771498912591207,0.0,0.012276592781368546,0.24512403619698675,-0.30717097624022266,-0.025694883387464527,0.0027449092249424547
2010-02-01,-0.07866548476006553,0.10271188500178784,0.0,-0.22619281382274328,0.0,0.07618848507954798,0.2316899818144589,-0.24657684795289397,-0.0014086395287572027,0.03656586203974535
2010-03-01,-0.12652846758804223,0.03533611300455054,0.0,-0.24769450453847155,0.0009597959439968972,-0.02452371794875344,0.2219534474774619,-0.32739740499768266,0.0,0.015606548501040823
2010-04-01,-0.08481532580338015,0.047644174207147366,-0.006592996941688128,-0.20778110870693625,0.043946863202979435,0.0,0.2478162225646288,-0.299071076178948,0.0,0.062332232394291934
2010-05-01,-0.021862646267042773,0.10080720904129532,0.022669220832225504,-0.13614920667252345,0.09916859289539698,0.0,0.2779520880747579,-0.23427967196522448,0.0,0.10711136425153364
2010-06-01,-0.0013416268959328334,0.0902069948038299,0.0,-0.12404389574352073,0.14196836561098058,0.0,0.2623178887073507,-0.20106765992694628,-0.017107229026514955,0.161946339284924
2010-07-01,-0.09896709952138624,0.0012331884258041793,0.0,-0.18776115212591316,0.043356040143941,0.0,0.17583890138324604,-0.30528239729241463,-0.10403836737337495,0.08352285373391975
2010-08-01,-0.13576170115155387,0.0,-0.11476128212358941,-0.21444079609368685,0.012997337351534102,-0.030904567232059574,0.12070872614372018,-0.3296808965023199,0.0,0.04074469340153608
2010-09-01,-0.04537383101164123,0.08044562009951582,0.0,-0.16500642801442586,0.11051524267024451,0.0,0.22523764310247574,-0.19377567315764113,-0.06731575632158664,0.11232980562246914
2010-10-01,-0.0841748110416894,0.06289503193660165,0.0,-0.2076683017177424,0.0741356510691428,0.0,0.21299199836846078,-0.17920583784035,-0.08436281164184989,0.09456555638416306
2010-11-01,-0.0380526282980413,0.10961472412090949,0.0,-0.2030598593162251,0.10077032639299345,0.0,0.2883227318745033,-0.1464039645226195,-0.009874350316836485,0.10390141515787142
2010-12-01,-0.005295992404000724,0.12895154736481382,0.0,-0.18140925583029577,0.10961720579395923,0.0,0.2945076666352445,-0.1374615262721061,0.014068905509959572,0.1286879001896204
2011-01-01,0.011393799074289739,0.14104132245420375,0.0,-0.16033323843961675,0.12454973684014946,0.0,0.2756095667671513,-0.1358737777863294,0.003201120215304099,0.14799743842295557
2011-02-01,0.038369234302092596,0.16067516559119804,0.1831318927272029,-0.11654197536964686,0.0,0.0,0.2371715965681826,-0.10833802958399037,0.02288748744685744,0.13288461841082932
